Agency Name,State Name [District] Latest available year,Locale,State Abbr [District] Latest available year,Pupil Teacher Ratio,Total Students All Grades (Excludes AE),TCE - El-Sec Education,TCE - Instruction,TCE - Support Services,TCE - Salary,TCE - Other El-Sec Programs,TCE - Benefits,TFEDREV,TSTATEREV,TLOCREV,TOTALREV,Fall Membership,TOTALREV per Pupil,TLOCREV per Pupil,TSTREV per Pupil,TFEDREV per Pupil,TCE - Instruction per Pupil,TCE - Support Services per Pupil,TCE - Other El-Sec Programs per Pupil,TCE - Salary per Pupil,TCE - Benefits per Pupil,TCE - El-Sec Education per Pupil,TCE - Instruction per Pupil,TCE - Non El-Sec Programs per Pupil,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Total Race/Ethnicity,Number Public Schools
ALLEGANY COUNTY PUBLIC SCHOOLS,Maryland,13-City: Small,MD ,14.29,8539,121513000,77611000,39327000,70278000,4575000,31839000,12183000,92484000,35299000,139966000,8539,16391,4134,10831,1427,9089,4606,536,8230,3729,14230,9089,52,‡,‡,141,285,7470,‡,549,8539,22
ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,Maryland,21-Suburb: Large,MD ,14.83,83300,1166730000,729491000,406117000,664812000,31122000,299817000,67162000,467193000,840677000,1375032000,83300,16507,10092,5609,806,8757,4875,374,7981,3599,14006,8757,7,235,3160,13206,17599,43800,‡,5118,83300,124
BALTIMORE CITY PUBLIC SCHOOLS,Maryland,11-City: Large,MD ,16.08,79297,1259867000,796692000,409520000,664332000,53655000,310140000,162921000,953404000,575669000,1691994000,79297,21337,7260,12023,2055,10047,5164,677,8378,3911,15888,10047,0,‡,‡,8969,62304,6170,‡,‡,79297,166
BALTIMORE COUNTY PUBLIC SCHOOLS,Maryland,21-Suburb: Large,MD ,15.39,113814,1653293000,1024876000,579356000,1002126000,49061000,389822000,113397000,810198000,968130000,1891725000,113814,16621,8506,7119,996,9005,5090,431,8805,3425,14526,9005,6,501,8179,11905,44835,42593,‡,5650,113814,174
CALVERT COUNTY PUBLIC SCHOOLS,Maryland,41-Rural: Fringe,MD ,15.94,15936,231620000,146575000,80321000,142174000,4724000,47874000,10975000,104737000,150466000,266178000,15936,16703,9442,6572,689,9198,5040,296,8922,3004,14534,9198,93,‡,262,1011,2035,11168,‡,1417,15936,25
CAROLINE COUNTY PUBLIC SCHOOLS,Maryland,42-Rural: Distant,MD ,13.81,5829,83226000,51458000,28045000,48977000,3723000,21053000,9199000,61219000,19239000,89657000,5829,15381,3301,10502,1578,8828,4811,639,8402,3612,14278,8828,103,‡,73,842,848,3624,‡,426,5829,10
CARROLL COUNTY PUBLIC SCHOOLS,Maryland,23-Suburb: Small,MD ,14.41,25179,357943000,221612000,129970000,207773000,6361000,96091000,15357000,161788000,221909000,399054000,25179,15849,8813,6426,610,8801,5162,253,8252,3816,14216,8801,12,‡,698,1705,993,20827,‡,861,25179,44
CECIL COUNTY PUBLIC SCHOOLS,Maryland,41-Rural: Fringe,MD ,13.13,15307,220460000,138671000,75576000,133479000,6213000,55662000,16687000,125560000,101842000,244089000,15307,15946,6653,8203,1090,9059,4937,406,8720,3636,14403,9059,37,‡,113,1107,1450,11633,‡,948,15307,29
CHARLES COUNTY PUBLIC SCHOOLS,Maryland,22-Suburb: Mid-size,MD ,15.30,27108,399368000,231490000,154281000,226978000,13597000,98436000,21689000,220294000,221949000,463932000,27108,17114,8188,8127,800,8540,5691,502,8373,3631,14732,8540,113,108,820,2446,15085,6545,‡,2060,27108,38
DORCHESTER COUNTY PUBLIC SCHOOLS,Maryland,42-Rural: Distant,MD ,12.56,4785,75324000,45890000,26315000,40060000,3119000,18943000,10077000,57989000,25170000,93236000,4785,19485,5260,12119,2106,9590,5499,652,8372,3959,15742,9590,6,‡,71,424,1940,2008,‡,337,4785,12
