SchoolN,State Name,NCESSCH,School Name,Agency Name
A. MARIO LOIEDERMAN MIDDLE,Maryland,240048001446,A. Mario Loiederman Middle,Montgomery County Public Schools
ABBOTTSTON ELEMENTARY,Maryland,240009000143,Abbottston Elementary,Baltimore City Public Schools
ABERDEEN HIGH,Maryland,240039000679,Aberdeen High,Harford County Public Schools
ABERDEEN MIDDLE,Maryland,240039000678,Aberdeen Middle,Harford County Public Schools
ABINGDON ELEMENTARY,Maryland,240039000162,Abingdon Elementary,Harford County Public Schools
ACADEMY FOR COLLEGE AND CAREER EXPLORATION,Maryland,240009001381,Academy for College and Career Exploration,Baltimore City Public Schools
ACADEMY OF HEALTH SCIENCES AT PGCC,Maryland,240051001704,Academy of Health Sciences at PGCC,Prince George's County Public Schools
ACCIDENT ELEMENTARY,Maryland,240036000662,Accident Elementary,Garrett County Public Schools
ACCOKEEK ACADEMY,Maryland,240051001686,Accokeek Academy,Prince George's County Public Schools
ACHIEVEMENT ACADEMY AT HARBOR CITY HIGH,Maryland,240009000236,Achievement Academy @ Harbor City High,Baltimore City Public Schools
ADELPHI ELEMENTARY,Maryland,240051000965,Adelphi Elementary,Prince George's County Public Schools
AFTERNOON GROUP LEARNING CENTERS,Maryland,240012000910,Afternoon Group Learning Centers,Baltimore County Public Schools
AFYA PUBLIC CHARTER SCHOOL,Maryland,240009001661,Afya Public Charter School,Baltimore City Public Schools
ALBERT EINSTEIN HIGH,Maryland,240048000773,Albert Einstein High,Montgomery County Public Schools
ALEXANDER HAMILTON ELEMENTARY,Maryland,240009000145,Alexander Hamilton Elementary,Baltimore City Public Schools
ALLEGANY HIGH,Maryland,240003000001,Allegany High,Allegany County Public Schools
ALLENWOOD ELEMENTARY,Maryland,240051000966,Allenwood Elementary,Prince George's County Public Schools
ALTERNATIVE PROGRAMS,Maryland,240048001451,Alternative Programs,Montgomery County Public Schools
ANDREW JACKSON ACADEMY,Maryland,240051001683,Andrew Jackson Academy,Prince George's County Public Schools
ANNAPOLIS ELEMENTARY,Maryland,240006000035,Annapolis Elementary,Anne Arundel County Public Schools
ANNAPOLIS HIGH,Maryland,240006000037,Annapolis High,Anne Arundel County Public Schools
ANNAPOLIS MIDDLE,Maryland,240006000036,Annapolis Middle,Anne Arundel County Public Schools
ANNAPOLIS ROAD ACADEMY,Maryland,240051000865,Annapolis Road Academy,Prince George's County Public Schools
ANNE ARUNDEL EVENING HIGH,Maryland,240006000899,Anne Arundel Evening High,Anne Arundel County Public Schools
APPLE GROVE ELEMENTARY,Maryland,240051000969,Apple Grove Elementary,Prince George's County Public Schools
APPLICATIONS AND RESEARCH LABORATORY,Maryland,240042002949,Applications and Research Laboratory,Howard County Public Schools
ARBUTUS ELEMENTARY,Maryland,240012000341,Arbutus Elementary,Baltimore County Public Schools
ARBUTUS MIDDLE,Maryland,240012000342,Arbutus Middle,Baltimore County Public Schools
ARCOLA ELEMENTARY,Maryland,240048001643,Arcola Elementary,Montgomery County Public Schools
ARDMORE ELEMENTARY,Maryland,240051000970,Ardmore Elementary,Prince George's County Public Schools
ARGYLE MIDDLE,Maryland,240048000409,Argyle Middle,Montgomery County Public Schools
ARLINGTON ELEMENTARY,Maryland,240009000146,Arlington Elementary/Middle,Baltimore City Public Schools
ARMISTEAD GARDENS ELEMENTARY/MIDDLE,Maryland,240009000147,Armistead Gardens Elementary/Middle,Baltimore City Public Schools
ARNOLD ELEMENTARY,Maryland,240006000038,Arnold Elementary,Anne Arundel County Public Schools
ARROWHEAD ELEMENTARY,Maryland,240051000971,Arrowhead Elementary,Prince George's County Public Schools
ARTHUR MIDDLETON ELEMENTARY SCHOOL,Maryland,240027000582,Arthur Middleton Elementary School,Charles County Public Schools
ARUNDEL ELEMENTARY,Maryland,240009000148,Arundel Elementary,Baltimore City Public Schools
ARUNDEL HIGH,Maryland,240006000040,Arundel High,Anne Arundel County Public Schools
ARUNDEL MIDDLE,Maryland,240006000039,Arundel Middle,Anne Arundel County Public Schools
ASHBURTON ELEMENTARY,Maryland,240048000776,Ashburton Elementary,Montgomery County Public Schools
ATHOLTON ELEMENTARY,Maryland,240042000718,Atholton Elementary,Howard County Public Schools
ATHOLTON HIGH,Maryland,240042000719,Atholton High,Howard County Public Schools
AUGUSTA FELLS SAVAGE INSTITUTE OF VISUAL ARTS,Maryland,240009001387,Augusta Fells Savage Institute of Visual Arts,Baltimore City Public Schools
AVALON ELEMENTARY,Maryland,240051000972,Avalon Elementary,Prince George's County Public Schools
BADEN ELEMENTARY,Maryland,240051000973,Baden Elementary,Prince George's County Public Schools
BAINBRIDGE ELEMENTARY,Maryland,240024000556,Bainbridge Elementary,Cecil County Public Schools
BAKERFIELD ELEMENTARY,Maryland,240039000680,Bakerfield Elementary,Harford County Public Schools
BALLENGER CREEK ELEMENTARY,Maryland,240033090471,Ballenger Creek Elementary,Frederick County Public Schools
BALLENGER CREEK MIDDLE,Maryland,240033090446,Ballenger Creek Middle,Frederick County Public Schools
BALTIMORE CITY COLLEGE,Maryland,240009000150,Baltimore City College,Baltimore City Public Schools
BALTIMORE COLLEGIATE SCHOOL FOR BOYS,MARYLAND,240009001736,Baltimore Collegiate School for Boys,Baltimore City Public Schools
BALTIMORE COUNTY HOME & HOSPITAL,Maryland,240012001341,Baltimore County Home & Hospital,Baltimore County Public Schools
BALTIMORE DESIGN SCHOOL,Maryland,240009001703,Baltimore Design School,Baltimore City Public Schools
BALTIMORE HIGHLANDS ELEMENTARY,Maryland,240012000344,Baltimore Highlands Elementary,Baltimore County Public Schools
BALTIMORE INTERNATIONAL ACADEMY,Maryland,240009001631,Baltimore International Academy,Baltimore City Public Schools
BALTIMORE LEADERSHIP SCHOOL FOR YOUNG WOMEN,Maryland,240009001682,Baltimore Leadership School for Young Women,Baltimore City Public Schools
BALTIMORE MONTESSORI PUBLIC CHARTER SCHOOL,Maryland,240009001657,Baltimore Montessori Public Charter School,Baltimore City Public Schools
BALTIMORE POLYTECHNIC INSTITUTE,Maryland,240009000151,Baltimore Polytechnic Institute,Baltimore City Public Schools
BALTIMORE SCHOOL FOR THE ARTS,Maryland,240009001391,Baltimore School for the Arts,Baltimore City Public Schools
BANNEKER BLAKE ACADEMY FOR ARTS AND SCIENCES,MARYLAND,240009001733,Banneker Blake Academy for Arts and Sciences,Baltimore City Public Schools
BANNOCKBURN ELEMENTARY,Maryland,240048000779,Bannockburn Elementary,Montgomery County Public Schools
BARACK OBAMA ELEMENTARY,Maryland,240051001697,Barack Obama Elementary,Prince George's County Public Schools
BARBARA INGRAM SCHOOL FOR THE ARTS,Maryland,240066001674,Barbara Ingram School for the Arts,Washingtion County Public Schools
BARCLAY ELEMENTARY/MIDDLE,Maryland,240009000152,Barclay Elementary/Middle,Baltimore City Public Schools
BARD HIGH SCHOOL EARLY COLLEGE,MARYLAND,240009001735,Bard High School Early College,Baltimore City Public Schools
BARNABY MANOR ELEMENTARY,Maryland,240051000974,Barnaby Manor Elementary,Prince George's County Public Schools
BARSTOW ELEMENTARY,Maryland,240015001655,Barstow Elementary,Calvert County Public Schools
BATTLE GROVE ELEMENTARY,Maryland,240012000345,Battle Grove Elementary,Baltimore County Public Schools
BATTLE MONUMENT SCHOOL,Maryland,240012000346,Battle Monument School,Baltimore County Public Schools
BAY VIEW ELEMENTARY,Maryland,240024000557,Bay View Elementary,Cecil County Public Schools
BAY-BROOK ELEMENTARY/MIDDLE,Maryland,240009000154,Bay-Brook Elementary/Middle,Baltimore City Public Schools
BAYARD RUSTIN ELEMENTARY,MARYLAND,240048001747,Bayard Rustin Elementary,Montgomery County Public Schools
BAYSIDE ELEMENTARY SCHOOL,Maryland,240054000202,Bayside Elementary School,Queen Anne's County Public Schools
BCDC EDUCATIONAL CENTER,Maryland,240012001711,BCDC Educational Center,Baltimore County Public Schools
BEACH ELEMENTARY,Maryland,240015000505,Beach Elementary,Calvert County Public Schools
BEACON HEIGHTS ELEMENTARY,Maryland,240051000975,Beacon Heights Elementary,Prince George's County Public Schools
BEALL ELEMENTARY,Maryland,240048000947,Beall Elementary,Montgomery County Public Schools
BEALL ELEMENTARY,Maryland,240003000003,Beall Elementary,Allegany County Public Schools
BEAR CREEK ELEMENTARY,Maryland,240012000347,Bear Creek Elementary,Baltimore County Public Schools
BEAVER RUN SCHOOL,Maryland,240069001298,Beaver Run School,Wicomico County Public Schools
BEDFORD ELEMENTARY,Maryland,240012000348,Bedford Elementary,Baltimore County Public Schools
BEECHFIELD ELEMENTARY/MIDDLE,Maryland,240009000155,Beechfield Elementary/Middle,Baltimore City Public Schools
BEL AIR ELEMENTARY,Maryland,240003000005,Bel Air Elementary,Allegany County Public Schools
BEL AIR ELEMENTARY,Maryland,240039000681,Bel Air Elementary,Harford County Public Schools
BEL AIR HIGH,Maryland,240039000683,Bel Air High,Harford County Public Schools
BEL AIR MIDDLE,Maryland,240039001397,Bel Air Middle,Harford County Public Schools
BEL PRE ELEMENTARY,Maryland,240048000780,Bel Pre Elementary,Montgomery County Public Schools
BELLE GROVE ELEMENTARY,Maryland,240006000043,Belle Grove Elementary,Anne Arundel County Public Schools
BELLOWS SPRING ELEMENTARY,Maryland,240042001551,Bellows Spring Elementary,Howard County Public Schools
BELLS MILL ELEMENTARY,Maryland,240048000781,Bells Mill Elementary,Montgomery County Public Schools
BELMONT ELEMENTARY,Maryland,240048000782,Belmont Elementary,Montgomery County Public Schools
BELMONT ELEMENTARY,Maryland,240009000156,Belmont Elementary,Baltimore City Public Schools
BELTSVILLE ACADEMY,Maryland,240051000978,Beltsville Academy,Prince George's County Public Schools
BELVEDERE ELEMENTARY,Maryland,240006000044,Belvedere Elementary,Anne Arundel County Public Schools
BENFIELD ELEMENTARY,Maryland,240006000045,Benfield Elementary,Anne Arundel County Public Schools
BENJAMIN BANNEKER ELEMENTARY,Maryland,240060001216,Benjamin Banneker Elementary,St. Mary's County Public Schools
