X,Y,OBJECTID,NCESSCH,NAME,IPR_EST,IPR_SE,SCHOOLYEAR,LAT,LON
-75.5874880003451,39.7536420004366,19147,100000400012,Charter School of Wilmington,267,138,2018-2019,39.753642,-75.587488
-75.5387569996083,39.1083500003483,19148,100000500013,Positive Outcomes Charter School,344,88,2018-2019,39.10835,-75.538757
-75.5227279996678,39.7515440000736,19149,100000600017,East Side Charter School,126,49,2018-2019,39.751544,-75.522728
-75.5369930004724,39.1650530002238,19150,100000700070,Campus Community School,228,114,2018-2019,39.165053,-75.536993
-75.5327089996776,39.7483650000119,19151,100001000079,Edison (Thomas A.) Charter School,121,32,2018-2019,39.748365,-75.532709
-75.3680970004424,38.6971750001773,19152,100001100091,Sussex Academy,200,36,2018-2019,38.697175,-75.368097
-75.5441009998288,39.7467699996975,19153,100001400106,Kuumba Academy Charter School,165,60,2018-2019,39.74677,-75.544101
-75.7878289994506,39.6531410000343,19154,100001500112,Newark Charter School,373,124,2018-2019,39.653141,-75.787829
-75.5851260004682,39.7215939997317,19155,100001600143,Delaware Military Academy,301,77,2018-2019,39.721594,-75.585126
-75.5443819997246,39.1617930000038,19156,100001700144,Academy Of Dover Charter School,240,107,2018-2019,39.161793,-75.544382
-75.6463030002978,39.2943380004736,19157,100001800122,Providence Creek Academy Charter School,299,132,2018-2019,39.294338,-75.646303
-75.7402389994724,39.4226750003281,19158,100001900123,MOT Charter School,497,107,2018-2019,39.422675,-75.740239
-75.5452500000213,39.6782690002576,19159,100002400256,Charter School of New Castle,228,54,2018-2019,39.678269,-75.54525
-75.5988010003809,39.7593830001768,19160,100002600259,Odyssey Charter School,565,254,2018-2019,39.759383,-75.598801
-75.5863529996858,39.6862429996964,19161,100004900341,Delaware Academy of Public Safety and Security,257,52,2018-2019,39.686243,-75.586353
-75.7022809993646,39.6877300002799,19162,100005000342,Las Americas ASPIRA Academy,322,77,2018-2019,39.68773,-75.702281
-75.6263990001627,39.7495939997583,19163,100005200346,Gateway Lab School,430,62,2018-2019,39.749594,-75.626399
-75.5994839998037,39.7600880002793,19164,100005300359,Academia Antonia Alonso,612,267,2018-2019,39.760088,-75.599484
-75.5455310003291,39.7448299996267,19165,100005400362,First State Montessori Academy,163,73,2018-2019,39.74483,-75.545531
-75.5503539997743,39.1946820001737,19166,100005500363,Early College High School at Del State,247,94,2018-2019,39.194682,-75.550354
-75.6603979995521,39.6769190002948,19167,100005600369,Design Thinking Academy,355,96,2018-2019,39.676919,-75.660398
-75.6381880003764,39.2933610005191,19168,100005700368,First State Military Academy,226,100,2018-2019,39.293361,-75.638188
-75.5466610004259,39.7499199997336,19169,100005900372,Freire Charter School,290,160,2018-2019,39.74992,-75.546661
-75.5441009998288,39.7467699996975,19170,100006200373,Great Oaks Charter School,165,60,2018-2019,39.74677,-75.544101
-75.5546710003609,39.7021200001186,19171,100006300387,Sussex Montessori School,222,34,2018-2019,39.70212,-75.554671
-75.7161110002293,39.4431799999429,19172,100008000014,Meredith (Everett) Middle School,406,90,2018-2019,39.44318,-75.716111
-75.6926530002103,39.4498309996457,19173,100008000024,Middletown High School,482,77,2018-2019,39.449831,-75.692653
-75.7098510003074,39.4522050002514,19174,100008000026,Redding (Louis L.) Middle School,341,99,2018-2019,39.452205,-75.709851
-75.7099470004969,39.4467889997415,19175,100008000027,Silver Lake Elementary School,396,96,2018-2019,39.446789,-75.709947
-75.6881110000285,39.395999000098,19176,100008000028,Townsend Elementary School,396,66,2018-2019,39.395999,-75.688111
-75.7176949998169,39.4433280001583,19177,100008000103,Appoquinimink PreSchool Center,403,90,2018-2019,39.443328,-75.717695
-75.7418460000943,39.5611019997565,19178,100008000121,Loss (Olive B.) Elementary School,486,116,2018-2019,39.561102,-75.741846
-75.6865089998387,39.458893000354,19179,100008000142,Brick Mill Elementary School,529,93,2018-2019,39.458893,-75.686509
-75.6873659995359,39.5031950002129,19180,100008000178,Cedar Lane Early Childhood Center,526,153,2018-2019,39.503195,-75.687366
-75.6891279994456,39.5035220002803,19181,100008000222,Waters (Alfred G.) Middle School,531,154,2018-2019,39.503522,-75.689128
-75.7474580006559,39.4541849997252,19182,100008000225,Appoquinimink High School,425,118,2018-2019,39.454185,-75.747458
-75.6866669999838,39.3953830002275,19183,100008000314,Townsend Early Childhood Center,397,65,2018-2019,39.395383,-75.686667
-75.6875829995452,39.5014850003822,19184,100008000332,Cedar Lane Elementary School,523,153,2018-2019,39.501485,-75.687583
-75.7438819996,39.4554030000204,19185,100008000339,Bunker Hill Elementary School,422,114,2018-2019,39.455403,-75.743882
-75.6511600004504,39.4365959999008,19186,100008000347,Old State Elementary School,524,68,2018-2019,39.436596,-75.65116
-75.6483920003597,39.4360070001891,19187,100008000348,Spring Meadow Early Childhood Center,514,58,2018-2019,39.436007,-75.648392
-75.6802179997933,39.5341189998416,19188,100008000380,Lorewood Grove Elementary School,463,135,2018-2019,39.534119,-75.680218
-75.14935600027,38.7578429997419,19189,100017000029,Cape Henlopen High School,490,132,2018-2019,38.757843,-75.149356
-75.3166680003066,38.7813510002778,19190,100017000030,H. O. Brittingham Elementary School,269,55,2018-2019,38.781351,-75.316668
-75.3123619999259,38.7645220001768,19191,100017000033,Mariner Middle School,348,93,2018-2019,38.764522,-75.312362
-75.0883190006693,38.7091789996616,19192,100017000035,Rehoboth Elementary School,475,141,2018-2019,38.709179,-75.088319
-75.1481179996722,38.7675660000646,19193,100017000036,Shields (Richard A.) Elementary School,509,132,2018-2019,38.767566,-75.148118
-75.1487160004793,38.7143980003798,19194,100017000037,Beacon Middle School,394,112,2018-2019,38.714398,-75.148716
-75.3148789997216,38.7720319996976,19195,100017000140,Milton Elementary School,301,69,2018-2019,38.772032,-75.314879
-75.1482829998321,38.7723919997822,19196,100017000304,Sussex Consortium,508,129,2018-2019,38.772392,-75.148283
-75.1522680001664,38.7164229997818,19197,100017000382,Love Creek Elementary School,398,117,2018-2019,38.716423,-75.152268
-75.5500310005476,39.1198099996605,19198,100018000018,Kent Elementary Intensive Learning Center,265,77,2018-2019,39.11981,-75.550031
-75.5114929997818,39.0998290001802,19199,100018000019,F. Niel Postlethwait Middle School ILC,320,106,2018-2019,39.099829,-75.511493
-75.511850999956,39.1017100004025,19200,100018000038,Allen Frear Elementary School,327,107,2018-2019,39.10171,-75.511851
-75.5412390002703,39.1185609997868,19201,100018000040,Caesar Rodney High School,270,89,2018-2019,39.118561,-75.541239
