SchoolN,State Name,State Abbr,School Name,Agency Name,School Type,Locale,Total Students All Grades (Excludes AE),Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Total Race/Ethnicity,American Indian/Alaska Native Students,Pupil/Teacher Ratio,Full-Time Equivalent Teachers
A. MARIO LOIEDERMAN MIDDLE,Maryland,MD ,A. Mario Loiederman Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,986,49,597,180,127,–,29,986,4,14.56,67.70
ABBOTTSTON ELEMENTARY,Maryland,MD ,Abbottston Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,325,–,16,294,9,–,6,325,–,12.75,25.50
ABERDEEN HIGH,Maryland,MD ,Aberdeen High,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,1458,85,146,560,541,2,120,1458,4,15.79,92.33
ABERDEEN MIDDLE,Maryland,MD ,Aberdeen Middle,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,1144,31,111,432,423,6,132,1144,9,14.60,78.34
ABINGDON ELEMENTARY,Maryland,MD ,Abingdon Elementary,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,775,22,62,161,469,1,58,775,2,15.30,50.65
ACADEMY FOR COLLEGE AND CAREER EXPLORATION,Maryland,MD ,Academy for College and Career Exploration,Baltimore City Public Schools,1-Regular school,11-City: Large,541,4,37,477,17,–,5,541,1,15.03,36.00
ACADEMY OF HEALTH SCIENCES AT PGCC,Maryland,MD ,Academy of Health Sciences at PGCC,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,518,53,62,373,22,1,6,518,1,24.09,21.50
ACCIDENT ELEMENTARY,Maryland,MD ,Accident Elementary,Garrett County Public Schools,1-Regular school,42-Rural: Distant,259,–,6,–,245,–,8,259,–,14.46,17.91
ACCOKEEK ACADEMY,Maryland,MD ,Accokeek Academy,Prince George's County Public Schools,1-Regular school,41-Rural: Fringe,1589,69,189,1225,57,9,37,1589,3,18.26,87.00
ACHIEVEMENT ACADEMY AT HARBOR CITY HIGH,Maryland,MD ,Achievement Academy @ Harbor City High,Baltimore City Public Schools,4-Alternative Education School,11-City: Large,411,1,16,391,2,–,1,411,–,17.87,23.00
ADELPHI ELEMENTARY,Maryland,MD ,Adelphi Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,771,14,585,151,15,–,1,771,5,15.06,51.20
AFTERNOON GROUP LEARNING CENTERS,Maryland,MD ,Afternoon Group Learning Centers,Baltimore County Public Schools,4-Alternative Education School,13-City: Small,0,0,0,0,0,0,0,0,0,†,0.00
AFYA PUBLIC CHARTER SCHOOL,Maryland,MD ,Afya Public Charter School,Baltimore City Public Schools,1-Regular school,11-City: Large,355,–,13,337,4,–,1,355,–,18.68,19.00
